2026-02-13 20:38:04,Rome,24\u00baC
2026-02-13 20:38:05,Panama City,30\u00baC
2026-02-13 20:38:06,Panama City,21\u00baC
2026-02-13 20:38:07,Yerevan,25\u00baC
2026-02-13 20:38:08,Paris,21\u00baC
2026-02-13 20:38:09,Rome,22\u00baC
2026-02-13 20:38:10,Paris,18\u00baC
2026-02-13 20:38:11,Algiers,25\u00baC
2026-02-13 20:38:12,Panama City,18\u00baC
2026-02-13 20:38:13,Panama City,31\u00baC
2026-02-13 20:38:04,Rome,24\u00baC
2026-02-13 20:38:05,Panama City,30\u00baC
2026-02-13 20:38:06,Panama City,21\u00baC
2026-02-13 20:38:07,Yerevan,25\u00baC
2026-02-13 20:38:08,Paris,21\u00baC
2026-02-13 20:38:09,Rome,22\u00baC
2026-02-13 20:38:10,Paris,18\u00baC
2026-02-13 20:38:11,Algiers,25\u00baC
2026-02-13 20:38:12,Panama City,18\u00baC
2026-02-13 20:38:13,Panama City,31\u00baC
2026-02-13 20:38:04,Rome,24\u00baC
2026-02-13 20:38:05,Panama City,30\u00baC
2026-02-13 20:38:06,Panama City,21\u00baC
2026-02-13 20:38:07,Yerevan,25\u00baC
2026-02-13 20:38:08,Paris,21\u00baC
2026-02-13 20:38:09,Rome,22\u00baC
2026-02-13 20:38:10,Paris,18\u00baC
2026-02-13 20:38:11,Algiers,25\u00baC
2026-02-13 20:38:12,Panama City,18\u00baC
2026-02-13 20:38:13,Panama City,31\u00baC
2026-02-13 21:08:28,Rome,18\u00baC
2026-02-13 21:08:29,Paris,19\u00baC
2026-02-13 21:08:30,Yerevan,28\u00baC
2026-02-13 21:08:31,Algiers,23\u00baC
2026-02-13 21:08:32,Cologne,32\u00baC
2026-02-13 21:08:33,Rome,30\u00baC
2026-02-13 21:08:34,Paris,19\u00baC
2026-02-13 21:08:35,Paris,22\u00baC
2026-02-13 21:08:36,Podgorica,20\u00baC
2026-02-13 21:08:37,Rome,20\u00baC
